Food,Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Category,Vegetarian,Recipe/Single_food_item,Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Fiber_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
CHICKEN KOTTU,,,,,Dessert,No,R,711.0,10.13679218,11.14574242,17.02129555,1.302634358,0.62527436,43.19093323,156.4949493,14.65272903,1.313417315,0.607939303,0.114443734,0.043360516,2.082950115,0.185999453,0.11434144,21.36367989,3.272261143,94.03885651,0.329658002,,,0.381200999,90.60656738,208.7476349,24.69810295,10.76525402,,,,,0.525551319
CHICKEN KOTTU,,,,,Beverage,Yes,R,485.0,10.13679218,11.14574242,17.02129555,1.302634358,0.62527436,43.19093323,156.4949493,14.65272903,1.313417315,0.607939303,0.114443734,0.043360516,2.082950115,0.185999453,0.11434144,21.36367989,3.272261143,94.03885651,0.329658002,,,0.381200999,90.60656738,208.7476349,24.69810295,10.76525402,,,,,0.525551319
CHICKEN KOTTU,,,,,Dessert,Yes,R,325.0,10.13679218,11.14574242,17.02129555,1.302634358,0.62527436,43.19093323,156.4949493,14.65272903,1.313417315,0.607939303,0.114443734,0.043360516,2.082950115,0.185999453,0.11434144,21.36367989,3.272261143,94.03885651,0.329658002,,,0.381200999,90.60656738,208.7476349,24.69810295,10.76525402,,,,,0.525551319
"CHICKEN MEAT W/ BONE, DEEP-FRIED",,,,,,,R,,18.56464577,25.09938049,1.668400049,1.064477921,1.509902,54.49456024,20.96029663,20.83045578,1.833059311,0.711547554,0.065512352,0.031248249,3.755392075,0.397112459,0.1823913,7.083724022,0.0,3.205209732,0.386348009,,,0.675864995,154.2052307,317.9765015,16.31215096,16.94472885,,,,,0.029488001
"CHICKEN MEAT W/ BONE, TEMPERED",,,,,,,R,,18.5,10.2,1.1,0.6,0.6,51.3,20.0,22.5,1.1,0.71,0.07,0.05,5.4,0.37,0.18415929,11.0,1.4,25.0,0.3,2.0,0.1,,,,,,,,,,
"CHICKEN MEAT W/ BONE, TEMPERED, BOILED",,,,,,,R,,18.7,7.7,2.1,0.8,0.7,51.4,21.0,24.0,1.12,0.75,0.04,0.04,3.4,0.23,0.18415929,14.4,1.9,24.0,0.3,2.0,0.1,,,,,,,,,,
"CHICKEN MEAT W/ BONE, TEMPERED, W/ COCONUT MILK",,,,,,,R,,18.1,12.9,3.0,1.3,1.6,48.8,29.0,27.1,1.54,0.75,0.04,0.05,3.3,0.22,0.1331304,11.4,2.6,46.0,0.3,2.0,0.1,,,,,,,,,,
"CHICKEN MEAT W/ BONE, W/ COCONUT MILK",,,,,,,R,,14.2,9.8,3.1,1.3,2.2,37.2,28.0,24.0,1.32,0.63,0.03,0.05,2.7,0.17,0.1331304,9.7,2.3,109.0,0.2,2.3,0.1,,,,,,,,,,
"CHICKEN MEAT, BONES REMOVED, BOILED, PLAIN",,,,,,,R,,22.72500038,10.45919991,0.726999998,0.662199974,0.700999975,67.3506012,19.71183968,17.49361992,1.184620023,0.818599999,0.062909998,0.04016,3.456439972,0.306300014,0.1734,8.427160263,0.0,3.140000105,0.396599978,,,0.83160001,161.0479889,258.7399902,17.0936203,20.7670002,,,,,0.0064
"CHICKEN MEAT, BONES REMOVED, COOKED W/ WATER",,,,,,,R,,18.857018,8.6045609,2.025167,0.721183,0.52700597,55.0228,40.827736,23.397343,1.197724,0.71266699,0.083472155,0.041726202,4.5479722,0.34675851,0.18415929,12.463428,1.6081327,8.315258,0.33278799,,,0.75059801,194.35684,358.35471,20.342047,17.027861,,368.97049,386.55566,256.91956,0.86081499
"CHICKEN MEAT, BONES REMOVED, TEMPERED",,,,,,,R,,18.5,10.2,1.1,0.6,0.6,51.3,20.0,22.5,1.1,0.71,0.07,0.05,5.4,0.37,0.18415929,11.0,1.4,25.0,0.3,2.0,0.1,,,,,,,,,,
"CHICKEN MEAT, BONES REMOVED, TEMPERED, W/ COCONUT MILK",,,,,,,R,,18.1,12.9,3.0,1.3,1.6,48.8,29.0,27.1,1.54,0.75,0.04,0.05,3.3,0.22,0.1331304,11.4,2.6,46.0,0.3,2.0,0.1,,,,,,,,,,
"CHICKEN MEAT, BONES REMOVED, W/ COCONUT MILK",,,,,,,R,,14.2,9.8,3.1,1.3,2.2,37.2,28.0,24.0,1.32,0.63,0.03,0.05,2.7,0.17,0.1331304,9.7,2.3,109.0,0.2,2.3,0.1,,,,,,,,,,
"CHICKEN MEAT, W/ BONE, COOKED W/ WATER",,,,,,,R,,15.965468,12.729396,2.025167,0.721183,0.52700597,76.60527,45.494217,24.147312,1.031064,1.22098,0.1022214,0.1083902,5.5058503,0.20051438,0.18415929,10.182686,1.6081327,8.315258,0.48278198,,,1.11725,159.35825,268.35831,42.79948,17.052858,,877.28351,1183.1906,487.74365,0.86081499
CHILI SAMBOL,,,,,,,R,,1.3,0.23,8.2,,,,25.7,,0.38,0.22,0.1,0.01,0.61,0.19,0.0,17.8,10.7,1.6,,,,,,,,,,,,,
"CHILI SAMBOL, W/ ONION",,,,,,,R,,1.488193,0.246792,7.991982,2.3907671,0.68623298,0.0,15.536249,16.646751,0.400002,0.227983,0.050221998,0.012101,0.37371001,0.080105007,,26.027134,20.094193,4.8649669,0.085957006,,,0.290878,33.026466,196.96759,3.9644592,0.377289,,61.36047,38.058044,108.5946,4.9084492
"CHILI, FRIED",,,,,,,R,,11.412,17.269001,25.857,28.052999,4.0050001,0.0,96.300003,207.89999,4.8509998,1.485,0.37485,0.71820003,5.3783998,0.34020001,0.0,29.502899,0.0,334.30499,1.062,,,0.648,310.5,1965.6,20.205,15.075,,993.27417,554.37744,3079.0459,3.8970001
"CHILI, GREEN, FRESH",,,,,,,S,,2.4,0.7,5.9,4.8,2.0,0.0,18.0,29.5,1.2,0.27,0.09,0.11,0.9,0.28,0.0,2.5,94.1,0.0,0.3,8.8,1.0,0.22,50.91,341.0,2.5,0.0,,0.129,0.0322,0.413,0.67
"CHILI, RED, DRIED",,,,,,,S,,12.69,6.4,29.46,31.15,,,99.83,231.0,6.23,1.66,0.46,0.83,6.94,0.42,0.0,51.5,0.0,,,,,0.57,280.0,2245.0,19.45,18.83,,1.141,0.718,3.263,4.7
"CHILI, RED, FRESH",,,,,,,S,,2.4,0.7,5.9,4.8,2.0,0.0,18.0,29.5,1.2,0.27,0.09,0.11,0.9,0.28,0.0,2.5,94.1,0.0,0.3,8.8,1.0,0.22,50.91,341.0,2.5,0.0,,0.129,0.0322,0.413,0.67
"CHINESE ROLL, FISH",,,,,,,S,,10.9,15.2,40.3,2.7,36.8,55.4,88.0,27.9,1.7,0.71,0.19,0.1,5.4,0.24,0.72666872,31.7,3.8,190.0,0.5,1.9,0.2,,,,,,,,,,
"CHINESE ROLL, VEGETABLE",,,,,,,S,,7.3927488,12.953424,43.233631,4.3601542,35.245422,37.458961,55.842339,47.522408,1.8303673,0.85000038,0.17513797,0.072936974,1.6480993,0.1805106,0.079824522,31.262402,21.459167,116.65749,0.35148835,,,0.86953759,135.0849,737.3396,84.106316,9.045846,,518.87311,578.84125,499.7742,2.0115962
CHOCO BAR,10.0,6.0,0.5,4.0,,,S,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,20.0,12.9,0.6,5.5,,,S,104.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE CAKE,60.0,35.0,3.0,12.0,,,S,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE CREAM BISCUIT,11.5,8.0,1.0,2.0,,,S,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE FLAVORED MILK DRINK,,,,,,,S,,3.6,1.5,11.7,0,0.3,0.0,115.0,19.0,0.62,0.5,0.03,0.17,0.1,0.03,0.38,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CHOCOLATE ICE CREAM,52.0,14.0,2.6,10.0,,,S,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE MARIE BISCUIT,4.0,2.8,0.3,0.4,,,S,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHOCOLATE, DARK, PLAIN",,,,,,,S,,5.0,28.0,63.5,0,0.9,0.0,33.0,89.0,2.3,1.3,0.04,0.06,0.4,0.03,0.0,12.0,0.0,0.0,1.4,1.7,0.1,,,,,,,,,,
"CHOCOLATE, MILK, PLAIN",,,,,,,S,,7.3,31.1,56.0,0,0.0,0.0,226.0,57.0,2.05,1.1,0.12,0.53,0.3,0.21,0.75,9.0,0.0,0.0,1.6,1.8,0.2,,,,,,,,,,
"CHOCOLATE, MILK, W/ CREAM OR CARAMEL FILLING",,,,,,,S,,7.3,31.1,56.0,0,0.0,0.0,226.0,57.0,2.05,1.1,0.12,0.53,0.3,0.21,0.33,9.0,0.0,0.0,1.6,1.8,0.2,,,,,,,,,,
"CHOCOLATE, MILK, W/ NUTS OR FRUIT",,,,,,,S,,7.3,31.1,56.0,0,0.0,0.0,226.0,57.0,2.05,1.1,0.12,0.53,0.3,0.21,0.33,9.0,0.0,0.0,1.6,1.8,0.2,,,,,,,,,,
"CLAMS, FRESH, TEMPERED, W/ COCONUT MILK",,,,,,,R,,11.3,9.5,4.8,1.335,3.1,43.3,66.0,23.3,5.94,1.88,0.03,0.05,3.8,0.04,4.5022588,5.8,5.6,84.0,0.1,1.4,0.7,,,,,,,,,,
CLEAR RASAM (NO VEGETABLES OR DAL),,,,,,,R,,1.1,1.0,2.6,2.9,1.5,0.0,57.0,26.5,1.22,0.28,0.02,0.02,0.1,0.02,0.0,4.6,1.6,3.0,0.1,6.8,0.3,,,,,,,,,,
COCKTAIL MIX,,,,,,,S,,18.8,32.9,35.1,0,32.8,0.0,58.0,100.0,3.8,2.5,0.38,0.1,4.3,0.54,0.0,0.0,0.0,0.0,4.7,17.4,2.8,,,,,,,,,,
COCONUT CAKE,50.0,30.0,3.0,14.0,Main Dish,No,S,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COCONUT KERNEL, DRIED, UNSWEETENED",,,,,,,S,,7.3,63.3,8.0,15.2,0.0,0.0,32.0,97.2,3.13,1.41,0.04,0.04,0.7,0.15,0.0,24.3,0.0,0.0,6.1,1.3,0.0,,,,,,,,,,
"COCONUT KERNEL, GREEN, FRESH",,,,,,,S,,3.8,41.4,6.3,10.4,0.0,0.0,8.0,35.0,1.3,0.58,0.03,0.08,0.3,0.1,0.0,25.4,0.8,0.0,2.7,1.4,0.0,,,,,,,,,,
"COCONUT KERNEL, MATURE, FRESH",,,,,,,S,,3.8,41.4,6.3,10.4,0.0,0.0,8.0,35.0,1.3,0.58,0.03,0.08,0.3,0.1,0.0,25.4,0.8,0.0,2.7,1.4,0.0,,,,,,,,,,
"COCONUT KERNEL, MATURE, FRESH, SWEETENED",,,,,,,S,,2.88,35.5,47.7,4.5,,,15.0,50.0,1.92,1.82,0.031,0.02,0.474,0.271,0.0,8.0,0.7,0.0,0.39,,,,,,,,,,,,
COCONUT MILK,,,,,Dessert,Yes,S,861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT MILK 1ST 2ND 3RD EXTRACTIONS,10.0,1.0,0.2,1.4,,,S,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT MILK 1ST 2ND EXTRACTIONS,10.0,1.3,0.2,1.9,,,S,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT MILK 1ST EXTRACTION,10.0,1.5,0.3,2.7,,,S,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT MILK GRAVY,,,,,,,R,,2.9,27.9,7.5,,,,24.3,,2.2,0.9,0.02,0.001,0.7,0.03,0.0,20.7,2.1,6.8,,,,,,,,,,,,,
"COCONUT MILK, FRESH",,,,,,,S,,1.1,16.9,3.3,0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
COCONUT OIL,,,,,,,S,,0.0,99.1,0.0,0,,,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,82.5,6.33,1.7,
COCONUT ROTI,100.0,49.2,6.7,6.3,,,S,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT SAMBAL,50.0,6.4,2.0,13.7,,,S,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT SAMBOL,,,,,Beverage,No,S,942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT SAMBOL,,,,,Dinner,No,S,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT SAMBOL,,,,,Breakfast,Yes,S,625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT SAMBOL,,,,,Main Dish,No,S,852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COCONUT SAMBOL, W/ COCONUT OIL",,,,,,,R,,2.9,27.6,6.9,7.2,0.4,0.0,12.0,28.7,0.99,0.46,0.03,0.06,0.3,0.08,0.0,23.5,6.8,2.0,1.7,1.5,0.0,,,,,,,,,,
"COCONUT SAMBOL, WITHOUT COCONUT OIL",,,,,,,R,,3.0,25.3,7.1,7.4,0.4,0.0,13.0,29.6,1.02,0.48,0.04,0.06,0.4,0.11,0.0,24.2,10.1,2.0,1.7,1.5,0.0,,,,,,,,,,
COCONUT TOFFEE,,,,,Snack,Yes,S,769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COCONUT WATER, BOTTLED, SWEETENED",,,,,,,S,,0.0,0.28,7.43,0,,,7.14,,0.0,,,,,,0.0,,,,,,,,,96.57,11.43,,,,,,
"COCONUT WATER, FRESH, UNSWEETENED",,,,,,,S,,0.3,0.2,3.2,0,0.0,0.0,27.0,18.2,0.06,0.04,0.01,0.01,0.0,0.06,0.0,10.9,0.6,0.0,0.5,0.2,0.0,,,,,,,,,,
COFFEE FLAVORED MILK DRINK,,,,,,,S,,3.6,1.5,11.7,0,0.3,0.0,115.0,19.0,0.62,0.5,0.03,0.17,0.1,0.03,0.51,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"COFFEE, BREWED",,,,,,,S,,0.2,0.0,0.3,0,0.0,0.0,3.0,8.0,0.1,0.0,0.0,0.01,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"COFFEE, MADE FROM INSTANT COFFEE POWDER",,,,,,,S,,0.0,0.0,0.0,0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
COLA,,,,,,,S,,0.0,0.0,10.9,0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"COOLING DRINK,CHINESE,INFUSION",,,,,,,S,,0.0,0.0,0.0,,,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
"COWPEAS, WHOLE, BOILED",,,,,,,R,,10.8,0.6,29.1,6.1,24.2,0.0,44.0,118.3,3.16,1.82,0.11,0.03,0.5,0.1,0.0,123.1,0.0,1.0,0.4,1.0,0.6,,,,,,,,,,
"COWPEAS, WHOLE, BOILED & TEMPERED",,,,,,,R,,8.102856636,5.252151966,22.42178345,4.813622952,17.79558563,0.0,30.93433952,62.44643021,1.69558692,1.21915102,0.133684009,0.0377925,0.506788015,0.094097994,,55.43204498,2.761360407,2.400935173,0.29261899,,,0.685205996,138.3327484,387.3774109,5.692287922,8.675303459,,,,,1.072144032
"COWPEAS, WHOLE, BOILED & TEMPERED, W/ COCONUT MILK",,,,,,,R,,7.929451,11.304261,22.147497,4.5927649,15.90982,0.0,59.333275,58.09729,2.9715126,1.3496569,0.125539,0.035624001,0.75608188,0.097002998,,52.35326,2.4469323,6.4738159,0.31406599,,,0.58348703,123.43944,379.70923,5.371489,7.5214911,,134.0645,31.49292,234.1705,0.84789199
"COWPEAS, WHOLE, BOILED, W/ COCONUT MILK",,,,,,,R,,13.9,4.7,38.2,8.4,30.5,0.0,67.0,145.9,4.48,2.3,0.15,0.06,0.9,0.14,0.0,152.5,2.5,37.0,0.5,1.2,0.5,,,,,,,,,,
"CRAB, BOILED",,,,,,,R,,19.5,5.5,0.0,0,0.0,72.0,0.0,58.0,1.6,5.5,0.7,0.86,5.1,0.16,4.2259202,20.0,0.0,0.0,0.0,3.0,14.2,,,,,,,,,,
"CRAB, TEMPERED",,,,,,,R,,7.923645,5.094871,1.564873,1.046944,0.31004101,11.237664,170.15363,45.711544,0.74069101,1.567281,0.033622641,0.044207249,0.59205902,0.077919573,2.6159809,7.0307074,2.6063035,16.797201,0.026907001,,,0.80764699,104.12305,182.5146,153.44958,18.814703,,,,,
"CRAB, TEMPERED, W/ COCONUT MILK",,,,,,,R,,9.6044359,13.94131,4.2170329,1.36043,0.53485501,12.2854,197.24657,52.262646,1.93294,2.0232179,0.040808201,0.043582853,0.93083948,0.088485874,2.85988,12.798814,2.5019805,16.195127,0.062613003,,,0.857952,115.28979,211.0631,167.35074,20.794115,,,,,
CREAM BUN,100.0,40.0,4.0,15.0,,,S,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREAM CRACKER BISCUIT,8.4,6.0,0.9,1.2,,,S,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREAM SODA,,,,,,,S,,0.0,0.0,13.3,0,0.0,0.0,5.0,1.0,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"CRISPS, MAIZE PUFF",,,,,,,S,,5.76,35.8,54.1,2.2,,4.0,58.0,20.0,1.1,0.6,0.155,0.2,5.74,0.064,0.0,180.0,0.0,0.0,,,,0.374,108.0,197.0,896.0,3.0,0.0,5.51,10.4,18.6,
"CRISPS, POTATO",,,,,,,S,,6.39,33.95,53.83,3.1,,,21.0,63.0,1.28,1.09,0.213,0.088,4.762,0.531,0.0,29.0,21.6,0.0,10.45,,,,,,,,,,,,
CUCUMBER & TOMATO SALAD,,,,,,,R,,0.8,0.2,4.0,2.1,0.5,0.0,16.0,20.1,0.44,0.18,0.03,0.02,0.4,0.07,0.0,16.6,11.8,35.0,0.1,3.5,0.5,,,,,,,,,,
CUCUMBER FLESH,50.0,1.5,0.3,0.05,,,S,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUCUMBER SALAD,100.0,7.0,1.0,0.0,,,R,35.0,0.9,0.2,4.2,2.3,0.6,0.0,17.0,21.9,0.49,0.19,0.03,0.01,0.4,0.07,0.0,17.3,10.0,2.0,0.0,3.3,0.4,,,,,,,,,,
"CUCUMBER, RAW, PLAIN",,,,,,,S,,0.8,0.2,2.8,2.1,0.6,0.0,19.0,18.5,0.59,0.19,0.02,0.01,0.3,0.07,0.0,14.7,6.2,1.0,0.0,2.1,0.9,,,,,,,,,,
"CUCUMBER, W/ COCONUT MILK",,,,,,,R,,1.8,11.2,7.2,2.9,1.9,0.0,28.0,28.4,1.02,0.26,0.02,0.01,0.3,0.05,0.0,20.2,4.3,25.0,0.1,0.8,0.1,,,,,,,,,,
CURD RICE,,,,,,,R,,6.2,4.0,24.6,1,23.1,0.0,23.0,10.5,0.33,0.51,0.01,0.04,1.1,0.03,0.34929839,4.8,0.6,55.0,0.2,0.8,0.2,,,,,,,,,,
"CURD, COW'S MILK, PLAIN, UNSWEETENED",,,,,,,S,,3.1,4.0,3.0,0,0.0,0.0,149.0,0.0,0.2,0.0,0.05,0.16,0.1,0.0,0.43,12.5,1.0,31.0,0.0,0.0,0.0,,,,,,,,,,
"CUSTARD APPLE, RAW",,,,,,,S,,1.6,0.7,20.4,5.1,0.3,0.0,28.0,38.5,0.42,0.22,0.13,0.09,0.7,0.07,0.0,7.6,21.5,0.0,0.2,0.8,0.5,,,,,,,,,,
CUSTARD CREAM BISCUIT,12.0,9.0,0.6,2.0,,,S,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUTTLE FISH, FRESH, W/ COCONUT MILK",,,,,,,R,,9.7,11.3,4.2,1.1,1.8,58.3,49.0,10.9,2.75,0.76,0.02,0.21,3.5,0.2,0.65455002,10.2,1.9,44.0,0.1,0.6,0.1,,,,,,,,,,
"CUTTLEFISH, FRESH, TEMPERED, W/ COCONUT MILK",,,,,,,R,,8.9593611,13.458135,4.3735299,1.41794,0.71955997,57.8214,24.604971,26.116316,1.278144,0.80562299,0.033480369,0.02677865,0.76498878,0.090422228,0.44742751,15.621469,5.1112847,24.780399,0.047375999,,,0.53733897,91.365021,148.9959,58.204441,22.43487,,,,,
DAN,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARK CHOCOLATE,50.0,29.0,3.0,18.0,,,S,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE CHUTNEY,,,,,,,R,,0.3,0.1,60.6,0,0.0,0.0,19.0,4.0,0.43,0.05,0.01,0.07,0.0,0.02,0.0,0.0,7.7,0.0,0.0,0.0,0.0,,,,,,,,,,
"DATES, FRESH",,,,,,,S,,1.2,0.4,33.8,,,,22.0,24.0,0.3,0.2,0.06,0.07,0.9,0.12,0.0,25.0,14.0,3.0,,,,0.21,28.0,410.0,7.0,1.0,0.0,0.0,0.0,0.0,
"DATES,DRIED",,,,,,,S,,2.4,0.3,72.7,9.1,1.0,0.0,66.0,75.2,4.79,0.58,0.02,0.03,1.1,0.15,0.0,12.8,3.8,0.0,0.0,0.4,0.1,,,,,,,,,,
DHAL CURRY,100.0,14.0,7.0,2.0,,,S,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAL CURRY WITH COCONUT MILK,50.0,12.0,5.0,3.5,,,S,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHODOL,,,,,,,R,,2.4,14.0,59.8,1.7,11.5,0.0,18.0,27.0,1.33,0.64,0.02,0.01,1.0,0.04,0.0,12.6,1.6,0.0,0.1,0.3,0.0,,,,,,,,,,
DODOL,100.0,75.0,2.0,12.0,,,S,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOSA, PLAIN",,,,,,,R,,12.9,10.3,26.0,0.2,24.5,0.0,64.0,74.0,3.15,1.43,0.16,0.15,3.5,0.01,0.0,64.5,0.0,3.0,0.1,0.7,0.0,,,,,,,,,,
"DRESSING,FRENCH",,,,,,,S,,0.3,32.2,11.7,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
DRIED PALMYRA SPROUTS,,,,,,,S,,2.92,1.73,85.1,2.79,,,53.0,,1.7,,,,,,,,,,,,,,,,,,,,,,
"DRINKING YOGHURT, FLAVORED OR SWEETENED",,,,,,,S,,3.0,1.2,12.7,0,,,,,,,,,,,0.5,,,,,,,,,,20.0,,,0.78,,,
"DRINKING YOGHURT, PLAIN, UNSWEETENED",,,,,,,S,,4.8,1.0,7.8,0,0.3,0.0,162.0,16.0,0.08,0.6,0.12,0.22,0.1,0.01,0.56,18.0,1.0,0.0,0.0,0.5,0.0,0.56,143.0,228.0,63.0,2.0,8.0,0.66,0.24,0.0,0.0
"DRUMSTICK LEAVES, BOILED",,,,,,,R,,5.396572113,8.852272034,4.780105114,8.4708004,2.610606909,0.0,231.2885132,84.04637146,4.530988216,0.709923983,0.046991199,0.3493568,0.766699374,0.691485822,,35.63906479,61.98711777,1767.942749,0.312287986,,,0.510695994,102.1540527,396.4772949,15.29378891,11.18749046,,,,,0.697174013
"DRUMSTICK LEAVES, BOILED, W/ COCONUT MILK",,,,,,,R,,5.81202507,14.6266861,7.391931057,6.246074677,1.991219997,0.0,306.0354004,71.59122467,5.033140182,0.855172992,0.067184903,0.322077543,1.07374227,0.649237752,,34.05423355,48.58143234,1778.207031,0.236301005,,,0.334034026,78.75984192,313.2337952,6.701914787,4.554542065,,,,,0.511521995
"DRUMSTICK LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,6.4,13.6,7.3,9.9,2.1,0.0,253.0,91.2,4.06,0.78,0.04,0.31,0.6,0.44,0.0,43.9,48.5,2309.0,1.1,2.0,1.8,,,,,,,,,,
"DRUMSTICK LEAVES, TEMPERED",,,,,,,R,,7.6,18.9,10.4,9.5,4.4,0.0,325.0,112.1,5.25,0.9,0.08,0.48,1.0,0.73,0.0,55.0,82.1,2891.0,0.5,2.2,1.8,,,,,,,,,,
"DRUMSTICK LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,6.07666111,18.33315849,6.820098877,9.213152885,3.936672926,0.0,239.5034485,89.97357941,4.966945171,0.797392964,0.062910147,0.367339849,0.846933782,0.740863383,,38.87808609,64.27639771,1775.441162,0.354203999,,,0.641502976,116.1587219,451.9901733,16.1429348,11.49265289,,,,,1.180255055
"DRUMSTICKS, BOILED",,,,,,,R,,2.1054952,0.1018788,3.5148187,6.0448089,0.94237888,0.0,18.007856,22.994471,0.40465623,0.21016252,0.035020836,0.049665917,0.46800575,0.089143947,,34.659168,60.750114,2.3916049,0.30563641,,,0.49241421,32.145309,256.73459,17.735826,2.7592175,,24.179235,37.041435,20.282372,1.5876113
"DRUMSTICKS, BOILED & TEMPERED",,,,,,,R,,2.6,6.2,5.2,6.136,2.2,0.0,40.0,38.9,1.32,0.36,0.03,0.06,0.5,0.08,0.0,51.2,31.6,42.0,0.3,2.2,0.1,,,,,,,,,,
"DRUMSTICKS, BOILED, W/ COCONUT MILK",,,,,,,R,,3.9552441,8.3172693,9.1312084,7.703836,2.487438,0.0,129.54872,34.337551,1.4969569,0.57801598,0.086535998,0.075664647,0.94970167,0.17121297,,58.217823,76.548782,15.034182,0.386062,,,0.69484097,55.271111,394.33258,21.88361,3.368973,,56.152588,51.784405,83.855782,2.544003
"DRUMSTICKS, TEMPERED, W/ COCONUT MILK",,,,,,,R,,2.3,10.1,5.1,4.5,2.2,0.0,33.0,30.0,1.15,0.29,0.03,0.05,0.4,0.06,0.0,36.5,22.3,42.0,0.2,1.5,0.1,,,,,,,,,,
"DUBAI PUMPKIN, BOILED, W/ COCONUT MILK",,,,,,,R,,1.4504369,6.1286364,5.2671981,2.0965519,0.640827,0.0,46.696217,12.063478,0.819493,0.304939,0.033639401,0.020748949,0.51331729,0.057485949,,22.897797,6.0179329,24.652082,0.14822501,,,0.15516999,22.06039,154.90181,3.96209,0.39089099,,61.756985,21.382942,71.058495,2.159502
"DUCK EGG, WHOLE, BOILED",,,,,,,R,,14.6,13.83,0.0,0,0.0,839.0,52.459999,12.0,2.46,1.49,0.153,0.066500001,0.1235,0.1425,4.5900002,56.610001,0.0,0.0,2.47,,,0.50999999,247.0,228.0,113.0,46.330002,,3373.0,6063.0,1684.0,0.0
