Food,Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Category,Vegetarian,Recipe/Single_food_item,Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Fiber_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"CAKE, ICED",,,,,,,R,,5.6236701,29.090473,41.14719,1.100886,15.845852,65.429359,35.344532,24.477068,1.064239,0.65593714,0.069641538,0.04152479,0.21787441,0.054331541,0.13122734,11.384727,0.0,195.0697,1.0340192,,,0.42303574,95.815796,130.00682,363.48572,12.174986,,992.31708,1930.7869,641.74036,0.5492897
"CAKE,CHOCOLATE",,,,,,,R,,7.3,24.1,51.3,0,22.8,0.0,58.421196,48.0,1.8,1.0,0.09,0.15,0.6,0.07,0.088507339,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"CAKE,COCONUT",,,,,,,R,,6.7,22.1,52.6,0,31.3,0.0,34.280571,21.0,1.42,0.7,0.1,0.13,0.7,0.08,0.088507339,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"CAKE,DATE",,,,,,,R,,4.5,12.1,55.2, ,,,32.902992,20.0,1.55,0.4,0.09,0.06,1.0,0.08,0.088507339,0.0,0.0,39.0,,,,0.56,113.0,385.0,193.0,4.0,39.0,4.54,4.72,1.88,
"CAKE,FRUIT",,,,,,,R,,4.5,12.1,55.2,0,15.6,0.0,34.537594,20.0,1.55,0.4,0.09,0.06,1.0,0.08,0.088507339,0.0,0.0,0.0,1.5,4.0,1.1,,,,,,,,,,
"CAKE,SPONGE",,,,,,,R,,6.4,26.4,53.1,0,22.8,0.0,32.902992,12.0,1.04,0.6,0.08,0.15,0.5,0.07,0.088507339,9.0,0.0,0.0,1.1,0.0,0.0,,,,,,,,,,
"CANDY, GINGELLY",,,,,,,S,,11.6,33.3,50.3,7.7,,,639.0,251.0,4.27,3.76,0.444,0.159,3.7,0.491,0.0,51.0,0.0,0.0,,,,0.033,412.0,307.0,167.0,4.0,0.0,4.66,12.6,14.6,
"CANDY, TOFFEE",,,,,,,S,,2.2,18.6,66.7,,,,73.0,,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
"CAPSICUM AND DRIED FISH, W/ COCONUT MILK",,,,,,,R,,5.0,12.5,4.5,1.4,1.7,8.2,25.0,17.5,0.85,0.22,0.03,0.03,0.5,0.07,0.16558982,22.0,24.4,40.0,0.2,0.6,0.1,,,,,,,,,,
"CAPSICUM AND SPRATS, W/ COCONUT MILK",,,,,,,R,,2.6,12.4,4.5,1.4,1.7,1.6,18.0,14.1,0.75,0.17,0.02,0.02,0.2,2.03,0.086887002,83.8,24.3,38.0,0.1,0.7,0.2,,,,,,,,,,
"CAPSICUM, TEMPERED",,,,,,,R,,2.5,15.8,7.8,4.1,4.0,0.0,47.0,30.7,1.79,0.42,0.05,0.06,0.6,0.13,0.0,50.9,47.8,143.0,0.2,2.8,0.2,,,,,,,,,,
"CAPSICUM, TEMPERED, W/ COCONUT MILK",,,,,,,R,,2.2,18.1,6.7,2.9,2.7,0.0,32.0,24.0,1.37,0.3,0.04,0.04,0.4,0.09,0.0,35.0,36.7,124.0,0.2,1.8,0.1,,,,,,,,,,
"CAPSICUM, W/ COCONUT MILK",,,,,,,R,,1.3,8.0,3.6,1.6,0.8,0.0,19.0,13.9,0.82,0.15,0.02,0.02,0.2,0.05,0.0,24.4,30.8,59.0,0.1,1.1,0.2,,,,,,,,,,
"CARP, FRESH, BOILED, W/ COCONUT MILK",,,,,,,R,,12.512734,12.42201,4.1620331,1.36043,0.53485501,0.0,64.227058,22.576145,1.6933399,0.67981797,0.0259682,0.021982851,1.3412395,0.11817087,0.3876,15.863834,2.4795806,16.195127,0.368613,,,0.72535205,108.3698,204.4931,11.456737,37.818916,,,,,
"CARP, FRESH, TEMPERED",,,,,,,R,,11.002125,7.3104072,1.564873,1.046944,0.31004101,0.0,50.189865,19.013609,0.54677099,0.35528103,0.02053304,0.02481525,1.0065629,0.10846198,0.36844799,10.19839,2.6063035,16.797201,0.31778699,,,0.71068698,101.21425,181.0602,11.20927,35.714832,,,,,
"CARP, FRESH, TEMPERED & BOILED, W/ COCONUT MILK",,,,,,,R,,13.061934,18.315411,4.4370327,1.36043,0.53485501,0.0,66.73806,23.075546,1.78494,0.72621799,0.0271782,0.02238285,1.4128695,0.12301588,0.40279999,16.773834,2.5915806,16.195127,0.380613,,,0.75195205,112.10979,209.4731,11.848736,39.269917,,,,,
"CARROT AND BROAD BEANS, W/ COCONUT MILK",,,,,,,R,,2.2,12.0,6.0,3.7,2.2,0.0,36.0,22.0,1.1,0.28,0.03,0.03,0.3,0.06,0.0,13.4,4.4,313.0,0.1,1.1,0.1,,,,,,,,,,
"CARROT AND DRIED FISH, W/ COCONUT MILK",,,,,,,R,,7.9,4.2,5.8,3,1.9,16.0,43.0,30.6,1.06,0.4,0.04,0.04,0.7,0.11,0.32410052,21.1,3.3,495.0,0.4,1.8,0.2,,,,,,,,,,
"CARROT AND GREEN BEANS, BOILED, PLAIN",,,,,,,R,,1.4,0.4,4.2,2.1,1.2,0.0,41.0,21.3,0.8,0.3,0.07,0.06,0.5,0.08,0.0,37.3,6.5,452.0,0.3,4.3,0.5,,,,,,,,,,
"CARROT AND GREEN BEANS, BOILED, W/ COCONUT MILK",,,,,,,R,,2.702482,12.483504,6.3891311,3.592958,0.90676999,0.0,61.092461,26.695084,1.623049,0.64120901,0.045483898,0.032203101,0.81992126,0.20901982,,26.401108,7.2828255,433.63403,0.13452201,,,0.228652,46.680508,266.02789,21.994526,0.16759001,,66.084389,15.106068,154.68581,1.7342999
"CARROT AND LEEK, BOILED & TEMPERED, W/ COCONUT MILK",,,,,,,R,,2.644751072,16.44133186,8.126159668,3.067286968,2.630091906,0.0,73.05853271,14.7056675,2.115152121,0.706278026,0.033958402,0.02596635,0.737894475,0.153054774,,33.11538696,6.475384712,418.4212952,0.336796016,,,0.254456997,34.4231987,257.7163086,26.27851105,2.851680994,,,,,1.822815061
